20MICRONS,20210302,37.45,37.6,36.85,36.95,63874
21STCENMGM,20210302,12,12.15,11.85,11.85,1345
3IINFOTECH,20210302,6.6,6.75,6.55,6.75,9360087
3MINDIA,20210302,24499.95,25199.9,24145.3,25068.65,9923
3PLAND,20210302,9.4,9.85,9.15,9.55,9385
5PAISA,20210302,263.75,270.6,260,267.65,45906
63MOONS,20210302,81,81.85,79.5,80.15,49044
A2ZINFRA,20210302,4.15,4.25,4.15,4.15,401022
AAKASH,20210302,127.9,127.9,126.5,127.9,9223
AARON,20210302,59.5,62,58.25,58.95,2259
AARTIDRUGS,20210302,635.4,651,635,645.8,403170
AARTIIND,20210302,1288,1309.35,1275.6,1293.05,594403
AARTISURF,20210302,933.95,933.95,905,924.7,12205
AARVEEDEN,20210302,18.9,18.9,17.85,18.15,11675
AARVI,20210302,52.3,53.55,52,52.6,13045
AAVAS,20210302,2279.95,2299,2214.35,2258.8,90826
ABAN,20210302,38.35,38.95,36.45,36.5,401608
ABB,20210302,1526.4,1549,1509,1521,56964
ABBOTINDIA,20210302,14550,14685.75,14450,14531.6,8953
ABCAPITAL,20210302,130.1,130.1,125.4,126.75,3588936
ABFRL,20210302,195,208.7,195,206.15,9727547
ABMINTLTD,20210302,76.35,76.35,76.35,76.35,1856
ABSLBANETF,20210302,350,353,347.95,351,197
ABSLNN50ET,20210302,350.1,365,348.12,354.26,451
ACC,20210302,1779,1812.95,1760.05,1771.8,824150
ACCELYA,20210302,900.9,907.85,888,897.35,4744
ACCURACY,20210302,64.7,66.55,63.75,63.9,14231
ACE,20210302,156.95,159,155,155.8,164635
ACRYSIL,20210302,338.55,338.55,325.15,338.55,147309
ADANIENT,20210302,857.4,876.5,852.25,872.55,5116413
ADANIGREEN,20210302,1155,1175,1134,1164.85,521226
ADANIPORTS,20210302,697.6,724.7,696,720.5,11486477
ADANIPOWER,20210302,56.25,61.3,56.1,61.3,33280011
ADANITRANS,20210302,763,797.4,753.55,781.05,762353
ADFFOODS,20210302,824.95,880.65,824.5,874.8,62662
ADHUNIKIND,20210302,21.7,21.7,20.5,20.95,38141
ADL,20210302,30,31.85,29.7,31.55,1076
ADORWELD,20210302,313.75,330.3,311.85,317.1,73508
