667GS2050,20210302,99.75,99.75,95,95,500
74GS2035,20210302,105.2,105.2,105.2,105.2,100
AAATECH,20210302,42.05,42.05,42.05,42.05,3000
ABFRLPP1,20210302,158,168.95,155.25,165.6,165789
ABSLRIF6RG,20210302,8.15,8.5,8.15,8.5,1446
AISL,20210302,25.25,26.25,25,26.25,12000
ASLIND,20210302,16.5,16.5,16.5,16.5,4000
ATALREAL,20210302,37,37,37,37,1600
AUTOLITIND,20210302,28,28,27,27.75,5355
AVROIND,20210302,38.45,38.45,38.25,38.25,6000
BALLARPUR,20210302,1.3,1.3,1.25,1.3,1385399
BARTRONICS,20210302,2.5,2.55,2.35,2.45,24023
BCONCEPTS,20210302,21.7,22.45,21.65,22.45,18000
BETA,20210302,121.6,122.7,121.5,122.7,2400
BIRET,20210302,247.59,250.2,247.21,249.48,346600
BOHRA,20210302,1.55,1.55,1.5,1.5,10000
BRIGHT,20210302,13.85,13.85,13.8,13.8,24000
BTML,20210302,75,79,73,73,10800
CADSYS,20210302,20.1,20.1,20.1,20.1,2000
CANDC,20210302,5.25,5.25,5,5.1,11671
CMMIPL,20210302,3.9,3.9,3.9,3.9,3000
CONTI,20210302,6.4,6.45,6.4,6.4,23331
COX&KINGS,20210302,1.3,1.35,1.3,1.3,764659
CREATIVEYE,20210302,2.8,2.8,2.8,2.8,1330
DHANILOANS,20210302,990,990,990,990,239
DHANILOANS,20210302,985,985,980,980,56
DHANIPP,20210302,210,210,203,204.35,27851
DIAPOWER,20210302,0.55,0.65,0.55,0.65,34673
DIGJAMLTD,20210302,4.85,4.9,4.6,4.85,171226
DSML,20210302,8.2,8.2,8.2,8.2,6000
E2E,20210302,45,45,45,45,2000
EASUNREYRL,20210302,2.45,2.5,2.3,2.3,32852
EBANK,20210302,3621,3858,3621,3858,4
ECLFINANCE,20210302,1242.1,1261.6,1242,1261.6,42
ECLFINANCE,20210302,1044,1047.8,1040,1047.8,461
ECLFINANCE,20210302,945.02,949.9,945.02,949.9,120
ECLFINANCE,20210302,933,933,933,933,1
ECLFINANCE,20210302,949,949,942,949,345
ECLFINANCE,20210302,953,1022.7,953,993.37,338
ECLFINANCE,20210302,1169.1,1224.97,1169.1,1224.97,195
ECLFINANCE,20210302,980,980,975.2,975.62,324
ECLFINANCE,20210302,989.42,989.42,975,975,51
ECLFINANCE,20210302,1130,1140,1125,1140,1625
ECLFINANCE,20210302,980,984.8,979,984.8,1415
ECLFINANCE,20210302,985,985,985,985,26
EDUCOMP,20210302,3.1,3.15,2.95,3.05,50704
EHFLNCD,20210302,971.4,971.4,971.4,971.4,20
EHFLNCD,20210302,949.98,950,945,950,401
EMBASSY,20210302,330.5,334.9,328.5,330,413400
EMCO,20210302,1.8,1.8,1.75,1.8,15893
EMOFSR1RDP,20210302,13.6,14.1,13.5,13.61,10490
EMOFSR1RGG,20210302,13.55,13.64,13.41,13.62,213040
ERFLNCDI,20210302,1070,1084,1070,1084,202
ERFLNCDI,20210302,870,879.99,870,874.38,80
EUROCERA,20210302,1.2,1.2,1.1,1.15,13348
EUROTEXIND,20210302,7.6,7.8,7.6,7.8,519
FELIX,20210302,51.25,51.25,51.25,51.25,4000
FILDF2GPD,20210302,0.45,0.45,0.45,0.45,3840
FOCUS,20210302,23.95,23.95,23.95,23.95,3000
GANGAFORGE,20210302,31.2,34,31.2,33.2,80000
GIRIRAJ,20210302,51,51,51,51,1200
GLOBALVECT,20210302,47.8,47.8,45,46.1,6261
GOENKA,20210302,2,2,2,2,130109
HDIL,20210302,5.4,5.5,5.25,5.5,397493
HEOFRG1126,20210302,10.8,10.8,10.3,10.32,34500
HMT,20210302,27.9,27.9,26.05,26.45,45800
HPIL,20210302,47,47,47,47,30000
IBUCCREDIT,20210302,1008,1008,1008,1008,20
IBUCCREDIT,20210302,925,925,925,925,170
IIFCL,20210302,1394.9,1394.9,1394.89,1394.89,211
IL&FSENGG,20210302,3.5,3.5,3.3,3.35,26030
IL&FSTRANS,20210302,2.15,2.3,2.1,2.2,92439
INDIGRID,20210302,129.5,129.85,129,129.35,195615
INDOSOLAR,20210302,2.45,2.45,2.35,2.4,167230
INNOVANA,20210302,86.45,90.9,86.45,87,6000
INNOVATIVE,20210302,8.65,8.65,8.6,8.65,12000
IRBINVIT,20210302,55.05,55.05,54.8,54.97,437500
IREDA,20210302,1259,1268.99,1250.59,1265.46,419
IREDA,20210302,1210,1220,1210,1215,1005
JAINSTUDIO,20210302,2.15,2.15,2.15,2.15,610
JETAIRWAYS,20210302,129.5,129.55,123.05,123.05,88895
JETKNIT,20210302,19.85,19.85,19.85,19.85,1500
JYOTISTRUC,20210302,4.45,4.65,4.35,4.4,110316
KGL,20210302,0.3,0.3,0.25,0.3,1123669
KHFM,20210302,40.1,41.9,40,41.85,57000
KRITIKA,20210302,37,37.8,37,37.8,8000
KSHITIJPOL,20210302,26.45,26.45,26.45,26.45,4000
L&TFINANCE,20210302,1020,1020,1004,1006.16,514
L&TFINANCE,20210302,1085,1085,1075,1076.7,366
L&TFINANCE,20210302,1155.95,1163,1155.95,1163,115
L&TFINANCE,20210302,1170,1170.01,1170,1170.01,244
L&TFINANCE,20210302,1140,1149.9,1140,1149.9,30
L&TFINANCE,20210302,1055,1055,1055,1055,215
L&TFINANCE,20210302,1078,1078,1078,1078,10
L&TFINANCE,20210302,1076.1,1076.1,1075.2,1075.2,30
L&TINFRA,20210302,1077.9,1077.9,1076,1076,305
L&TINFRA,20210302,2207.5,2208.1,2205.13,2207.9,390
LAKPRE,20210302,5.15,5.15,4.85,4.85,1725
LEXUS,20210302,17.75,17.75,17.75,17.75,5000
M14RG,20210302,9.94,9.95,9.94,9.94,12500
M17RD,20210302,7.83,7.83,7.83,7.83,900
MAHICKRA,20210302,80.5,80.75,77,77.1,15000
MANAV,20210302,4.8,4.8,4.8,4.8,4000
